UUID,Template,Street,City,State,Zip,OutputStreet,OutputCity,OutputState,OutputZip,Lon,Lat,Header,SL,SL2,County,RFD_ID,FS,WZ,PWF_DistanceInFeet,YrBuilt,LivingArea,Baths,HalfBaths,HalfBaths,InputStreet,InputCity,InputState,InputZip,NumCandidates,NumCloseCandidates,GoodCandidate
583cf25e56f58,RMIatTXwithRMS,2322 Sunstone Place Dr.,Rosharon,TX,77583,2322 SUNSTONE PLACE DR,ROSHARON,TX,77583,-95.440363,29.439269,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,24.9,21.7,Brazoria,RM480390440,3.71,,44,2013,1393,,,,,,,,,,
583ce650efa1c,RMIatTXwithRMS,11703 Eagle Ridge Dr,Dayton,TX,77535,11703 EAGLE RIDGE DR,DAYTON,TX,77535,-94.877324,29.871018,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,8.7,6.1,Chambers,RM480711070,1.52,,1891,,2480,,,,,,,,,,
583cd24d82da8,RMIatTXwithRMS,2103 Southwick,Houston,TX,77080,2103 SOUTHWICK ST,HOUSTON,TX,77080,-95.543434,29.811348,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,35,30,Harris,RM482010310,1.33,OUT,10854,1962,2884,3,1,1,,,,,,,
583cc877ef8dd,RMIatTXwithRMS,5344 Safron Rose,San Antonio,TX,78253,5344 SAFFRON ROSE,SAN ANTONIO,TX,78253,-98.75284,29.485956,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,120.0,120.0,Bexar,RM480292950,4.52,OUT,114,,,,,,,,,,,,
583cc3f1b88c5,RMIatTXwithRMS,2111 LOMAX DR,LA PORTE,TX,77571,2111 LOMAX DR,LA PORTE,TX,77571,-95.059113,29.678022,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,3.5,2,Harris,RM482010531,1.33,OUT,7153,1980,1893,3,,,,,,,,,
583cbeaccc426,RMIatTXwithRMS,15223 Circling Hawk Ct,Houston,TX,77095,15223 CIRCLING HAWK CT,HOUSTON,TX,77095,-95.638643,29.883813,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,42,36,Harris,RM482010140,0.76,OUT,11184,2001,3286,4,1,1,,,,,,,
583cbea0f0673,RMIatTXwithRMS,11523 Creekhurst Dr.,Houston,TX,77099,11523 CREEKHURST DR,HOUSTON,TX,77099,-95.581882,29.664137,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,35,32,Harris,RM482010310,0.97,OUT,20557,1972,2169,2,,,,,,,,,
583cbe70d1161,RMIatTXwithRMS,11831 COPPERAS CREEK LN,SUGAR LAND,TX,77498,11831 COPPERAS CREEK DR,SUGAR LAND,TX,77498,-95.661856,29.643771,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,39,37,Fort Bend,RM481570250,2.48,OUT,2206,2000,2116,2,,,,,,,,,
583cbd0355e7a,RMIatTXwithRMS,3123 Tecumseh Court,Missouri City,TX,77459,3123 TECUMSEH CT,MISSOURI CITY,TX,77459,-95.514142,29.539367,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,30,30,Fort Bend,RM481570360,1.82,OUT,685,1992,2952,3,,,,,,,,,
583cbc2784f4e,RMIatTXwithRMS,24010 RAIN CREEK DR,Tomball,TX,77375,24010 RAIN CREEK DR,TOMBALL,TX,77375,-95.555656,30.110353,eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiI1ODBmOWY1NjYzZjM5MDAwOTM2ZTA3ZmUiLCJleHAiOm51bGx9.8nW7NQwr066mjDZ-UjRXuLpeWBf8y9Vt5G7CoxMchoA,46,40,Harris,RM482010730,1.10,OUT,694,2004,3342,3,1,1,,,,,,,
